species,sepal_length,sepal_width,petal_length,petal_width
versicolor,5.7798243111100165,2.8080000000000003,4.019250263234126,1.287965944319137
versicolor,5.518,3.0622448942861658,4.116139388156691,1.3556480016027377
setosa,4.98638295330781,3.3354192614379055,1.5406680516324565,0.24385515982311745
versicolor,6.072450765505754,2.6515397447910627,4.155784051205073,1.3535966228492986
versicolor,5.554839742052348,2.363873347980659,3.142566320222549,1.292
versicolor,6.12810636238544,3.212,4.142273272092788,1.330204611958191
setosa,5.120862533119287,3.5540571126256593,1.4790676646383032,0.21603275791670962
versicolor,6.117999999999999,2.7634392831358303,4.59079290874478,1.32344567211973
versicolor,6.076,2.8846702197454395,4.962833333333333,0.6310823981739245
versicolor,5.83139549708685,3.5840000000000005,4.439948295349613,1.6640758940958917
virginica,6.579969501483736,3.534837842185442,5.300855485094132,2.092
setosa,4.882000000000001,3.4593295336958882,1.438466374618783,0.21969146626513422
virginica,7.3180000000000005,3.182057549407471,4.913666666666667,1.820877532705589
setosa,5.027011203401962,3.6570008152459423,1.5408831584898615,0.25850281767392014
virginica,5.58777465636397,2.705410369049021,5.94277789298409,2.112
virginica,6.718,2.8831158385056788,5.782329776772826,2.008584759812122
versicolor,6.112,2.8080000000000003,4.432299931589439,1.292
versicolor,6.112,2.7920000000000003,4.263082171807438,1.312
versicolor,6.4777541432614685,2.204757270664933,3.7853928395148726,0.516
versicolor,5.696537573085008,2.8422711053717613,4.1929916027186165,1.4305314171105148
setosa,5.065585702916417,2.016,1.5355649387340509,0.28541552022623207
virginica,6.607577241003672,2.6804398776254876,5.399808724881467,2.0005508800306853
virginica,5.149296478777125,3.229806136320925,6.114236535232355,2.085972783669205
setosa,4.502585032076545,3.233187749990064,1.4898284890908875,0.2594676131193703
setosa,4.888,3.5503527277684297,1.2763294891747439,0.231689529527514
virginica,6.1410626049925146,2.8450983687616684,4.871822411593531,1.9478953706249698
setosa,4.949110604278945,3.5920000000000005,1.462103128661197,0.26255915159008275
setosa,4.974061707875423,3.6120000000000005,1.419296295534152,0.18615321728862105
setosa,5.2228248450904236,3.6330696610829416,1.405419681630038,0.24576302015877022
versicolor,5.726963995383499,3.5840000000000005,4.880232090397843,1.2481722595857645
setosa,4.768566828305839,3.6080000000000005,1.4219153377362863,0.2912475241251391
versicolor,6.076,2.3550145128580198,4.9837146960921315,1.266531396425555
versicolor,4.9,2.392,4.3017196058076665,1.3455553474108473
setosa,4.888,3.188,1.4518885018579766,0.21453162416110966
setosa,4.5190378816154375,2.601158807001811,1.4942126279913122,0.21943431654944318
setosa,4.806863669427258,3.396098804648494,2.547853627744653,0.25431035756642273
versicolor,6.712,2.7920000000000003,4.213915620305616,1.2875490547318307
virginica,6.688000000000001,3.278448646621514,4.913666666666667,1.5555258047258116
virginica,7.312,2.7920000000000003,5.594790074984079,1.6160364838783676
versicolor,6.082,2.8080000000000003,3.930333333333334,1.292
setosa,5.441967611311052,3.8158534920529608,1.4968492633152515,0.24813852236781905
virginica,7.206355648884523,2.7001307022565673,5.872851708336809,2.108
versicolor,6.063264096206337,3.4,5.1,1.2272273265750555
versicolor,4.918,2.016,4.197289411544672,1.292
versicolor,6.141920900533145,2.3706429364932142,3.117323785804332,1.352444377581589
